Total protein by cell line	HCC1806	MCF10A	HCC38	BT549	HS578T	MDAMB231	SKBR3	MCF7	HCC70	BT20
ZNF800	0.28466	0.83342	-1.3145	-1.0916	-0.2046	-0.2571	2.174	0.29165	-0.61219	-0.10377
PTEN	0.5253	-0.34384	-0.75129	-1.3572	0.071705	0.7596	1.9064	0.80223	-0.66752	-0.94542
ABT1	1.9969	-0.31928	0.65521	-0.87798	-0.81765	0.06297	1.0237	0.090895	-0.49819	-1.3166
KDM2B	2.0859	-0.21696	0.44119	-0.65682	-0.95958	-0.21091	1.1568	0.17282	-0.8955	-0.91693
DDX49	2.4222	-0.22175	0.16909	-0.34225	-0.84491	-0.18675	0.74284	0.032715	-0.70158	-1.0696
PPIE	2.1684	-0.30636	0.32454	-0.71348	-0.67284	0.14327	0.72933	-0.042887	-0.022987	-1.607
LRWD1	1.7751	-0.55852	0.6971	-0.256	-0.39905	-0.026931	0.98972	0.32459	-0.7733	-1.7727
DHX33	1.8895	-0.010041	0.51805	-0.30518	-0.51882	-0.21028	1.3035	-0.22354	-1.3247	-1.1185
KDM2A	2.1069	-0.42537	0.078883	-0.19714	-0.48263	-0.34714	1.4795	-0.41417	-0.93636	-0.86256
TRIM27	1.7505	-0.967	0.85076	-0.45984	-0.88658	0.010201	1.3864	-0.039875	-0.78208	-0.86251
DHX57	2.4374	-0.91487	0.21935	-0.90879	-0.25906	-0.16407	0.74913	-0.19201	-0.1764	-0.79063
BCL2L12	2.0788	0.18297	0.057377	-0.43763	-1.1686	-0.58083	1.2239	-0.43784	-1.023	0.10486
L3MBTL2	2.0005	-0.37153	0.19363	-0.47788	-1.5734	-0.35623	1.3079	-0.27049	-0.45591	0.0033762
BEND3	2.2434	0.041184	0.55054	-0.84409	-1.2119	-0.5953	0.86755	-0.36326	-0.3964	-0.29171
FAR1	2.1961	-0.5088	0.52285	-0.85756	-0.75924	-0.19068	0.75993	0.17536	-1.2989	-0.039054
INO80C	1.7036	-0.41743	0.85096	-0.86787	-0.8433	-0.058587	1.4611	-0.28553	-1.1747	-0.36822
RNF169	2.0689	0.13098	0.44242	-0.77523	-0.82713	-0.26355	1.1466	-0.24159	-1.2681	-0.41334
USP36	1.4266	-0.45156	0.42689	-0.94739	-0.49159	-0.28442	1.9001	0.089438	-1.2518	-0.41629
ATP5J2-PTCD1	1.518	0.49792	0.12544	-0.35453	-0.81014	-0.45468	1.6429	-0.031951	-0.58278	-1.5503
DDX56	1.6643	0.31865	-0.11101	-0.75072	-1.1615	-0.1687	1.6519	0.12606	-0.46813	-1.1007
GFER	1.6084	-0.052689	-0.0088037	-0.5067	-1.1329	-0.71478	1.8483	0.15061	-0.27127	-0.92012
MTERF	0.86551	0.025412	0.004114	-0.6312	-0.63927	-0.51909	2.1721	0.37237	-0.13377	-1.5162
RBM28	1.1734	0.33573	0.17946	-0.84941	-0.83136	-0.42782	2.0654	0.045824	-0.54195	-1.1493
BOLA3	1.4763	0.37983	0.34233	-0.86124	-0.39015	0.35205	1.2875	0.1377	-1.0851	-1.6392
CRNKL1	1.3362	0.50744	0.55804	-0.86677	-0.76942	-0.09284	1.6884	-0.18142	-0.95852	-1.2212
MRPL12	0.91686	0.87844	0.5001	-0.73467	-0.61745	0.16648	1.5817	-0.094146	-0.90797	-1.6893
CHD4	1.2369	0.53493	0.088041	-1.44	-0.49745	-0.39692	1.5702	0.70509	-0.66202	-1.1387
POLR3B	0.84818	0.40521	1.0405	-1.0738	-0.88935	-0.49512	1.623	0.47215	-0.71695	-1.2139
DDX27	1.6886	0.38103	0.41236	-1.0485	-0.89982	-0.59226	1.2685	0.42778	-1.2881	-0.34965
UTP23	1.8238	-0.10568	0.63802	-0.50597	-0.53587	-0.7142	1.1432	0.5373	-1.1955	-1.0851
FAM207A	1.2931	0.54783	0.018805	-0.31168	-0.79294	-0.49858	1.6007	0.59245	-1.4889	-0.96078
DPY30	1.794	0.15201	-0.28243	-0.47794	-0.62308	-0.13162	0.61705	0.82773	0.11558	-1.9913
TAF6	1.7222	0.089805	-0.18821	-0.53575	0.14202	-0.54656	0.71187	0.91027	-0.31873	-1.9869
NSA2	2.0728	0.66012	-0.12607	-0.60185	-0.62424	-0.50336	0.65039	0.64128	-0.91155	-1.2575
TAF1	1.9796	0.46046	-0.15736	-0.8588	-0.95163	-0.17529	1.0311	0.26579	-0.17775	-1.4161
ZBTB2	1.9003	0.55946	-0.45595	-0.79974	-0.83563	-0.17656	1.0897	0.60778	-0.66417	-1.2252
TAF4	1.6644	0.25145	-0.61187	-0.21847	-1.1008	-0.15524	1.3016	0.8585	-0.77328	-1.2163
API5	1.3558	0.31548	0.13152	-1.4206	-0.89981	0.57439	1.6488	-0.78107	-0.71879	-0.20562
MPRIP	1.635	0.21869	-0.36233	-1.0474	-1.118	0.16999	1.505	-0.63469	-0.90308	0.53691
PUSL1	1.6236	-0.15407	-0.48623	-1.3285	-0.97252	0.19657	1.6049	-0.15397	-0.7568	0.42704
FBXW9	1.6303	0.56267	0.16389	-1.1441	-0.53277	-0.51075	1.6852	-0.58734	-0.91409	-0.35301
TMEM141	1.3262	-0.64586	-0.2029	-1.5559	-0.2973	-0.18888	1.7631	0.15034	-0.89756	0.54881
ERAL1	1.1805	0.60234	-0.31287	-1.1501	-0.45492	0.30168	1.9366	-0.38026	-1.1314	-0.59165
ZBTB40	0.92069	0.61173	-0.25865	-1.031	-0.46236	0.066927	2.0062	0.2668	-1.2677	-0.85264
INO80B	1.173	0.17325	-0.63418	-1.6045	0.21696	-0.061792	1.8013	0.29228	-1.0762	-0.27998
HSPA12A	1.5174	-0.26542	0.15612	-1.6992	0.70516	0.30213	0.8579	0.15123	-1.5259	-0.19937
SRBD1	1.9033	-0.81404	0.47223	-1.3101	0.22533	0.27015	0.68044	0.39854	-1.339	-0.48674
TOX4	1.9906	-0.52831	0.52945	-1.5925	0.063148	0.60414	0.32662	0.2178	-0.55899	-1.0519
MBD3	1.8729	-1.0801	0.20881	-0.66621	0.31421	0.0019478	1.1061	-0.013276	-1.5773	-0.16718
PCGF1	1.6038	-1.0537	0.21049	-0.81508	0.11706	-0.19841	1.5657	-0.15082	-1.4345	0.15545
SLC25A16	1.2342	-0.33581	-0.057177	-0.73378	0.39352	-0.5084	1.7163	0.38561	-1.796	-0.29848
POLRMT	1.5241	-0.53888	0.81603	-0.23609	0.026588	-0.12485	1.469	-0.80392	-1.6008	-0.53118
AMZ2	1.6511	-1.4039	-0.29012	-0.64668	-0.25169	-0.14875	1.0957	1.2724	-0.44046	-0.83761
TRUB1	1.5644	-0.80567	0.11393	-0.58299	-0.16384	-0.61624	0.96152	1.3218	-0.2388	-1.5541
RAB40C	1.0531	-1.088	-0.07475	-1.5876	-0.19916	-0.22233	1.1222	1.3949	0.43634	-0.83468
MVK	0.6688	-1.8234	-0.25374	-0.54716	0.72527	-0.14541	1.6639	0.88266	-0.38045	-0.79045
UBR3	0.73283	-1.3801	-0.24181	-0.84309	0.55691	0.19318	1.4155	1.3393	-1.0775	-0.69527
ARFIP2	1.2734	-1.1977	-0.034185	-0.93861	-0.74525	0.584	1.9102	0.13868	-0.4377	-0.55287
TIGD2	1.6446	-0.42912	-0.36089	-0.71984	-1.2368	0.72849	1.6123	-0.0011523	-0.48278	-0.75483
ORC3	1.5904	-0.87538	0.23787	-0.6172	-0.92765	0.17554	1.2197	1.0395	-0.68707	-1.1556
ORC4	1.7728	-1.0018	0.099062	-0.65541	-0.92458	0.95335	0.90694	0.57766	-0.83959	-0.88849
ZGPAT	1.6577	-1.0116	-0.69262	-0.98705	-1.0716	0.79184	1.0077	0.89838	-0.3197	-0.27313
ZGPAT	1.0188	-0.77965	-0.45146	-1.1706	-1.0757	0.67241	1.1945	1.4702	-0.12589	-0.75271
INIP	1.1043	-1.1919	-0.021088	-0.28361	-1.538	0.1229	1.5537	0.76061	0.36991	-0.87687
SIRT7	1.2686	-0.84993	-0.048383	-0.65896	-1.616	-0.26634	1.6191	0.84456	0.14646	-0.43922
SYNGR2	0.61527	-0.94851	0.48416	-1.2272	-1.4201	0.56424	1.6035	0.83579	0.0985	-0.60567
ACN9	0.13752	0.37643	0.23527	-0.7109	0.11531	0.087139	2.1433	-1.8291	-0.56431	0.0093077
NBN	0.21672	-0.095088	0.53292	-0.85086	0.019729	-0.11308	2.3428	-1.5081	-0.19704	-0.34792
PHF20	0.098489	-0.13781	0.75011	-0.61492	-0.47546	-0.34273	2.3409	-1.4385	-0.3368	0.15681
ACTR5	0.8241	-0.61981	0.82501	-0.8971	-0.14497	-0.55853	2.1203	-0.93138	-0.84001	0.22235
FAM25B	0.55289	-0.7788	0.078488	-0.53865	-0.16411	-0.5075	2.4722	-0.40903	-1.0524	0.34695
C9orf41	0.36202	-0.69475	1.0555	-0.67338	-1.003	-0.39909	2.1789	-0.83378	-0.32057	0.32813
CDK12	0.59839	-0.040188	0.52866	-0.84411	-0.63241	0.029063	2.3543	-0.81952	-1.0016	-0.17259
GOSR1	0.65158	-0.13892	0.44907	-0.65029	-0.91441	-0.17714	2.4025	-1.0195	-0.48984	-0.1131
GOSR1	0.16683	-0.11095	0.49998	-0.7252	-0.61148	-0.25621	2.4725	-0.68666	-1.0375	0.28876
CDKN2AIP	0.37173	0.32248	1.4	-0.6245	-0.7948	0.55848	1.5025	-1.1241	-1.3733	-0.23852
TOP2A	0.62462	0.1868	0.98405	-0.67453	-0.23123	0.34612	1.5583	-1.4612	-1.5401	0.20717
DTL	0.62416	-0.60673	1.5042	-0.70829	0.095628	0.41008	1.2601	-1.2438	-1.4659	0.1305
EIF4A3	0.90938	0.046169	1.2457	-1.2374	-0.87029	0.074895	1.5581	-1.0911	-0.8203	0.18478
NUFIP2	0.33077	-0.69359	1.5768	-1.3948	-0.51978	0.15932	1.5887	-0.62551	-0.79323	0.37146
CPVL	0.32466	0.93858	0.67817	-0.6181	-0.77854	-0.096999	2.0939	-0.76137	-0.83054	-0.9498
MCAT	0.79347	0.49413	1.1278	-0.35351	-1.2979	-0.13225	1.7538	-0.6214	-0.81513	-0.94905
JPH1	0.4724	0.36457	1.2738	-0.72536	-0.76548	-0.54457	1.913	-0.26157	-1.3072	-0.41962
MRS2	1.1673	-0.14357	0.43751	-0.88094	-0.86993	0.27782	2.0625	-0.36388	-0.78729	-0.89953
SUPT6H	0.6244	-0.33213	1.2966	-0.8261	-0.82948	0.15048	1.9837	-0.48059	-0.77816	-0.80871
MTBP	1.0158	0.064903	1.1896	-0.69603	-0.60133	-0.57862	1.8327	-1.2225	-0.43084	-0.57369
PCID2	0.90784	0.12912	1.4393	0.34964	-0.40363	-0.70851	1.3802	-1.2073	-1.2246	-0.66205
CDC6	-0.0075819	-0.58964	0.35569	-0.15774	-0.2952	1.4799	1.909	-1.0443	-1.0772	-0.57297
TMPO	0.62536	-0.40299	0.30309	-0.53694	-0.21743	0.85299	1.9523	-0.51995	-1.7683	-0.28812
LIN54	1.0496	-0.86612	0.23643	0.48164	-0.21898	0.46764	1.7157	-1.4463	-1.2345	-0.18516
PPIL4	0.94618	-0.859	0.40517	0.2284	-0.50535	0.68951	1.8457	-1.4832	-0.56228	-0.70509
NSRP1	0.8068	-0.018564	0.66291	-0.053354	-0.34933	0.37987	1.9083	-1.5431	-0.96299	-0.83057
SMYD2	0.83892	-0.40752	-0.098921	-0.55706	-0.33844	1.1721	1.5114	-1.7388	-0.87689	0.49522
ALDH2	0.82602	-0.82016	0.14676	-0.49153	-0.96959	0.5513	2.1334	-0.90997	0.33689	-0.80312
PLCB3	1.2046	-0.46797	0.37122	-0.82753	-0.48128	0.075374	2.1143	-0.95739	-0.096513	-0.93479
CANT1	0.16649	-1.2904	0.20763	-0.6043	-0.74876	0.058426	2.4151	0.040299	0.36293	-0.60734
NT5C3B	0.17907	-0.80399	-0.056417	-0.43229	-0.70782	0.42566	2.6081	-0.4798	-0.093888	-0.63867
RPRD1B	0.54438	-1.1357	0.3894	-0.66773	-0.77434	0.19879	2.3825	-0.6578	-0.26078	-0.018719
MED1	0.70575	-0.43627	-0.18586	-0.25812	-0.60221	0.27596	2.5228	-0.76811	-0.75112	-0.50284
MROH6	0.72699	-0.4063	-0.55157	-1.0154	0.03004	0.46817	2.3546	-0.3696	-0.22773	-1.0092
KITLG	0.71125	-0.95881	0.048299	0.32306	-0.73773	-0.034507	2.1934	-0.82639	0.40568	-1.1243
PTPN18	0.69715	-1.1195	-0.45391	0.33857	-1.0116	-0.049843	2.0064	-0.8848	0.94291	-0.46544
ALKBH2	1.0821	0.13597	0.31694	-0.52655	-0.74424	-1.1003	2.1724	-0.459	-0.018164	-0.85911
ATPAF1	1.5201	-0.46488	-0.0097982	-0.67346	-0.38688	-1.2936	1.9699	-0.011728	-0.095583	-0.55397
ATAD2	0.63004	-0.75559	0.27703	-0.34285	-0.49757	-0.77038	2.5399	-0.23937	-0.16118	-0.68003
MSL1	1.0287	-0.53442	0.50555	-0.91686	-0.48009	-0.59144	2.2706	-0.20506	-0.2205	-0.85644
CHD9	1.3669	-1.1475	-0.090397	-0.12068	-0.75057	-1.1097	1.8854	-0.53934	0.36132	0.14464
CWF19L2	1.6198	-1.035	0.11614	-0.098141	-0.62084	0.55864	1.1016	-1.7998	0.3232	-0.16557
TUBGCP4	1.6973	-1.0691	0.25524	-0.040413	-0.67322	-0.23835	1.6603	-1.2313	-0.35594	-0.0045692
DOCK1	1.5172	-1.4546	-0.35508	-1.3489	-0.0728	0.30787	1.526	-0.34332	0.29181	-0.068222
PYCR1	1.293	-1.705	0.13947	-0.55216	-0.047974	0.25508	1.7627	-0.65749	0.18694	-0.67462
RSBN1L	1.0006	-1.443	0.50576	-0.75769	0.057884	0.030774	1.8651	-1.2173	0.22501	-0.2671
RPL22	1.7743	-1.2958	-0.18816	-0.38132	0.18704	0.10548	1.3703	-1.1547	0.36053	-0.77764
DOT1L	0.80082	-0.48186	0.55748	0.9116	-1.6043	0.3259	1.5571	-0.63589	-1.1909	-0.23992
SCAF8	1.5648	-0.005531	0.15641	0.80922	-1.4426	0.11256	1.151	-0.59994	-1.4066	-0.33929
SLFN11	0.89389	-0.65464	1.2623	0.79507	-1.7184	0.17322	0.93794	-0.93464	-0.89004	0.13528
HLA-E	1.4073	-0.63033	-0.85201	0.95377	-1.3506	0.53579	1.2032	-1.0871	-0.42884	0.24872
TUBGCP3	1.6001	-1.2523	-0.47522	0.67334	-0.83953	0.81309	1.2898	-0.72141	-0.70277	-0.38516
PHF8	1.4099	-0.35311	-0.21603	-0.22807	-1.0873	0.91779	1.6191	-0.41664	-1.3773	-0.26829
ANK2	-0.39314	0.39049	1.3036	0.94155	-1.0579	0.14455	1.2542	-0.39087	-0.4492	-1.7433
CPM	-0.77158	0.20648	1.4094	1.8439	-0.80266	-0.39791	0.6802	-0.54332	-0.59312	-1.0313
NCBP1	-0.012764	-0.72536	0.72543	1.3428	-1.5436	-0.29549	1.4366	0.53114	-0.36607	-1.0927
TRMT5	-0.30655	-0.78322	0.91618	1.3884	-1.2731	1.007	0.78324	0.27191	-0.68901	-1.3148
CRYZ	0.17893	0.69311	1.2683	0.62831	-0.34802	-1.017	1.0368	-0.49884	0.058748	-2.0004
EFEMP1	-0.11644	0.699	1.2281	0.63429	-0.68762	-0.60946	0.93598	-0.9725	0.72958	-1.8409
FAM177A1	-0.34328	-0.0027858	1.3231	0.5149	-1.1198	-0.39446	0.53251	0.6081	0.88627	-2.0045
PSTPIP2	-0.067965	-0.021511	1.4876	0.34757	-0.40804	-0.73693	0.65815	-0.02909	0.92802	-2.1578
ISCA1	-0.0426	0.85209	0.51279	0.91194	-1.2441	-0.076556	0.55424	0.0025236	0.72015	-2.1904
S100PBP	-0.076452	0.4874	0.54473	0.62458	-0.37376	-0.46221	0.4796	-0.35211	1.4326	-2.3044
ATP5D	0.42472	1.8135	-0.055203	0.26956	-0.64487	-0.82053	1.0471	0.40377	-0.95971	-1.4783
CS	0.75453	0.9781	0.15445	0.34058	-1.0082	-1.0751	1.4149	0.69246	-0.85642	-1.3954
ORMDL2	0.60516	0.99899	0.12055	-0.41068	-1.0481	-1.3434	1.4017	1.1384	-0.40051	-1.0622
HMGCR	0.62648	1.3383	-0.16223	-0.044641	-0.3593	-1.4431	0.57502	1.4147	-0.55281	-1.3924
BCS1L	0.55522	1.5737	-0.39834	0.35089	-0.80167	-1.5875	1.459	-0.089693	-0.34354	-0.71815
TADA1	0.68808	1.3375	0.3069	0.19675	-0.73798	-1.9222	0.96449	0.28903	0.039323	-1.1619
ATP5J	0.73232	0.87002	0.17702	0.65741	-0.75338	-1.2845	0.90909	0.075072	0.58072	-1.9638
CERS6	0.4589	0.8132	0.72479	0.57876	-0.52643	-1.5041	0.79788	0.54757	0.055898	-1.9465
CAMKK1	1.069	0.66515	-0.48683	1.1333	-0.15879	-1.0722	0.89164	-0.016864	-0.044137	-1.9803
HIRA	1.0512	0.55975	-0.29942	0.63191	-0.50562	-0.65229	1.173	0.11656	0.16021	-2.2353
UBN1	0.74012	0.3281	-0.46074	0.53579	-0.5717	-0.89289	1.1474	0.4752	0.8211	-2.1224
RNF139	0.56633	0.27282	0.050991	0.24963	-0.020515	-1.6886	1.0644	1.2449	-0.0064987	-1.7335
SQLE	0.14862	0.74272	-0.20891	0.56574	0.48693	-1.7824	0.91901	0.57198	0.38149	-1.8252
CGREF1	0.30064	0.44998	0.50977	0.24971	-0.22197	-1.5871	1.7405	-0.25935	0.4142	-1.5965
GATC	0.82562	0.72506	1.0049	0.22365	-0.45251	-1.5983	1.1599	0.21237	-0.61662	-1.4842
SHPRH	1.0548	-0.23734	0.72619	0.5005	-0.566	-1.5199	1.5267	0.16212	-0.22806	-1.419
CNIH2	0.28017	-0.10459	-0.31118	1.8005	0.027323	-1.0086	1.3362	0.18613	-0.71524	-1.4907
NEIL2	-0.44224	-0.35795	0.16411	1.3747	-0.11352	-0.50989	1.5027	0.60546	-0.27795	-1.9454
COL4A5	0.10163	0.20916	-0.17988	1.4303	1.0611	-1.6668	1.0623	-0.13188	-0.80276	-1.0832
IBTK	-0.52262	0.66918	-0.47998	0.58117	0.99493	-1.6688	1.523	0.50116	-0.58855	-1.0095
SLC22A23	-0.57837	0.81399	-0.59969	1.45	0.62265	-1.6304	0.79716	0.71753	-0.60152	-0.9913
HOXC9	-0.070183	1.0763	0.14521	1.302	0.20468	-1.5317	0.94263	0.0024782	-0.44484	-1.6266
COBLL1	1.4106	-0.032197	-0.023626	0.34031	0.81046	-2.2423	0.11426	-0.049583	0.59059	-0.91845
KLHL9	0.39062	0.11979	-0.53634	1.6565	0.49155	-2.0101	0.19446	-0.16223	0.77783	-0.92213
ING1	1.0459	-0.27612	-1.497	0.66646	-0.17566	-1.5868	1.2979	0.48525	0.601	-0.56093
RAB3B	0.7559	-0.22123	-0.56174	1.4469	-0.090511	-1.6275	0.23953	1.1458	0.27881	-1.366
TSPYL1	0.43697	0.16129	-0.49605	1.34	-0.89051	-1.7762	0.39335	1.1945	0.57529	-0.93868
FUBP1	-0.037128	0.91617	0.42642	0.28728	-0.47578	-2.2411	0.14766	0.77371	1.1026	-0.89985
HNRNPUL2	0.12036	0.36139	0.25107	0.33635	0.41742	-2.3739	-0.10057	1.3834	0.46064	-0.85618
TPM1	-0.65875	0.89213	0.18482	0.091668	1.5402	-1.7951	0.33402	0.48103	0.24523	-1.3153
ABCC3	-0.25851	1.6922	0.32459	-0.53662	-1.1707	-0.072921	-1.2529	-0.68065	0.55599	1.3994
KIAA1671	-0.074216	2.2339	-0.014709	-0.10766	-1.2909	0.44853	-0.95857	-0.96107	0.46172	0.263
CES2	-0.22209	1.7931	-0.077918	0.11762	-1.6499	0.13014	-0.72351	-0.47954	-0.33971	1.4518
SRSF10	0.6005	1.8942	-0.50014	-0.30466	-1.3815	0.48647	-0.49947	-0.88168	-0.53291	1.1192
CHTOP	0.94855	1.1914	0.11072	-0.23884	-1.271	-0.44175	-1.5844	-0.24927	0.042379	1.4922
PDPR	0.7641	1.3547	0.096264	-0.77657	-1.2104	-0.30061	-1.5143	0.2267	-0.076143	1.4363
TSKU	1.0387	1.4108	-0.093825	-1.2856	-1.2401	-0.20639	-1.2231	0.37201	0.22593	1.0015
SQRDL	1.0797	1.7086	-0.045416	-0.61689	-1.5253	-0.034206	-1.1123	-0.57844	0.58177	0.54247
HTATIP2	1.3684	0.40552	0.1245	-0.34749	-2.0155	-0.28011	-1.0171	0.34945	0.19027	1.222
CD46	0.66961	1.4262	0.58572	-0.85052	-1.4053	-0.16199	-0.3033	-1.412	0.33168	1.1199
MST1R	0.67693	1.0645	0.59949	-0.87797	-1.7469	-0.05546	-0.14322	-1.2523	1.1224	0.61255
CD46	0.64036	1.1682	0.16892	-0.35905	-0.97269	0.44914	-0.39074	-2.0504	0.10004	1.2462
KRT5	1.0395	1.8246	0.033937	-1.0036	-0.88695	-0.82125	-0.59994	-0.92582	0.72799	0.61154
SLC7A6	0.74089	1.9323	0.36405	-0.95286	-0.46905	-1.096	-0.62189	-1.0739	0.69642	0.48002
PKP2	1.256	1.8299	0.42345	-1.196	-0.77752	-0.43059	-0.82258	-0.78721	-0.10175	0.6062
SMIM20	0.52293	2.204	0.51255	-0.99069	-0.70771	0.14393	-0.48691	-1.3446	-0.080436	0.22694
MAU2	1.5598	1.0441	-0.20101	-1.0691	-0.27031	-0.47335	-1.5086	-0.67068	0.85662	0.73265
MYO1B	1.1893	1.5745	-0.36304	-0.73889	-0.70921	-0.46098	-1.4694	-0.56739	0.63373	0.91138
NIPBL	0.93242	1.1529	0.023849	-1.298	-0.19609	-0.87833	-0.93308	-0.97016	0.81192	1.3546
ALDH3A2	0.99521	1.2834	-0.40114	-0.10938	-1.1582	-0.98758	-0.43096	-0.64034	-0.33082	1.7798
HSD17B2	0.75331	1.9961	-0.039194	-0.5832	-0.74812	-0.61503	-0.58009	-0.93239	-0.54285	1.2915
HIBCH	1.2311	1.1921	0.53815	-1.165	-1.1587	-0.70962	0.24466	-0.32422	-1.0183	1.1699
ZC3H11A	1.2195	1.5336	0.3677	-0.83482	-1.4896	-0.58831	-0.33773	-0.33725	-0.61122	1.0782
PHB2	0.47952	1.7515	0.45483	-0.32419	-1.496	-0.41098	0.32137	-0.69721	-1.1328	1.054
DECR2	0.30014	1.4628	-0.05462	-0.50734	-1.0741	-1.3096	0.42989	0.42969	-1.1072	1.4303
HNRNPAB	-0.14202	1.5039	-0.36492	-0.36145	-0.45133	-1.3695	0.20737	0.0027783	-0.90109	1.8763
PET112	-0.19177	1.4118	0.2948	-0.23638	-0.33105	-0.95714	0.44823	-0.96207	-1.2445	1.7681
RTN4IP1	0.66078	0.88256	-0.0088836	-0.94077	-1.1727	-0.77751	0.74089	-0.80886	-0.45009	1.8745
ZNF384	1.1459	0.61882	-0.24882	-0.20406	-0.29912	-1.1959	0.64253	-1.0674	-1.1002	1.7082
ALG11	-0.53202	0.71221	-0.14045	0.82355	-1.3353	-0.32597	0.46076	-1.3973	-0.12097	1.8555
QRSL1	0.30808	0.96673	0.83046	-0.042157	-1.3452	-1.0818	0.82722	-0.97094	-0.87389	1.3815
SRC	0.16676	1.3364	0.056329	0.62138	-1.3567	-0.82785	0.94299	-1.4067	-0.57048	1.0379
ACADM	-0.22711	1.0257	0.8212	-0.16592	-0.94363	-0.71569	0.59733	-1.8605	1.4034	0.065187
BAIAP2L1	0.25013	0.54046	-0.16951	-1.3927	-0.84427	-0.44661	0.48856	-1.2187	1.6625	1.1301
TJP2	-0.015987	0.45311	0.4507	-1.1315	-0.77144	-0.083918	0.38311	-1.7241	1.7736	0.66645
PLXNB2	-0.031913	0.95526	-0.22866	-1.0646	-0.88161	0.20911	1.032	-1.6467	1.5105	0.1466
AIM1	0.24766	1.2931	0.72542	-0.93065	-1.8343	-0.75772	0.13538	-0.62507	0.90244	0.8437
ITGB6	0.034756	1.1526	0.65176	-1.0634	-1.1159	-1.1917	0.12673	-0.88904	1.0723	1.2218
FAM83F	0.53792	1.2239	1.0587	-1.04	-1.1614	-1.2722	-0.35389	-0.64214	1.0941	0.555
PTBP3	0.44206	0.59945	1.1123	-1.1551	-1.368	-1.0584	-0.53063	-0.21544	1.3963	0.77746
GALNT3	0.58691	0.74659	0.33781	-2.0405	-1.1108	-0.69748	0.20107	-0.024459	1.1702	0.83053
SLC44A1	0.5894	0.57165	0.28138	-1.9254	-0.85362	-0.52117	-0.47838	-0.18545	1.4804	1.0412
MGST1	0.6941	1.2751	0.29433	-1.7248	-0.84474	-0.76348	-0.69644	-0.19009	0.75435	1.2017
SNCG	0.24116	0.69053	0.040764	-1.5682	-1.2682	-0.27175	0.24538	-0.73631	0.94553	1.681
ECH1	-0.89608	1.4064	0.40638	-1.7047	-0.80665	-0.78456	0.38349	0.21922	1.1212	0.6553
SDCBP2	-0.47722	1.2978	0.10863	-1.2411	-1.0156	-0.9683	0.022951	-0.22573	1.6931	0.80545
SLPI	-0.17045	1.1089	0.42652	-0.96153	-1.0857	-1.0813	0.026545	-0.60169	1.9405	0.39818
PRSS22	-0.69404	0.57204	0.73653	-1.4021	-0.75106	-0.90344	0.14884	0.34281	2.0384	-0.087963
PTGFRN	0.23725	0.47441	0.47991	-1.4117	0.28842	-1.6097	-0.12786	-0.78372	1.5281	0.92486
ADAM15	0.11898	1.8752	-0.37463	-1.2315	-1.421	0.097365	-0.53577	-0.13463	1.1104	0.49562
TTC7A	0.21219	2.1308	-0.41079	-1.5524	-1.2027	-0.12221	0.0513	0.040741	0.48353	0.36957
FKBP5	-0.35995	1.8392	0.026055	-1.8774	-1.0486	0.69348	-0.05284	0.17837	0.58912	0.012513
ETHE1	-0.86677	1.9647	-0.87469	-1.1414	-0.065727	-0.15601	1.3151	-0.61367	0.43142	0.0070945
MTX2	-0.77294	1.6734	-0.66963	-1.7259	-0.64999	0.39055	0.89825	-0.27006	0.35563	0.77067
PPOX	-0.66911	2.1726	-0.52734	-1.5508	-0.49204	-0.10029	0.37815	-0.3404	0.54897	0.58029
ALS2CL	0.74711	1.2821	-0.1684	-2.2575	-0.56501	0.46109	0.86698	-0.59415	0.18727	0.040516
DLG1	0.71593	1.2443	-0.12573	-2.0029	-0.60309	0.9528	0.51524	-0.81118	0.65329	-0.53866
DLG2	0.25375	1.2377	0.23302	-2.2727	-0.58257	0.82941	0.60111	-0.0068519	0.46707	-0.75996
DLG1	0.0069377	0.91581	0.62611	-2.4609	-0.20361	0.74144	-0.5894	0.79643	-0.16801	0.33514
ITPR3	0.57999	1.2234	-0.14083	-2.2666	-0.11967	1.236	-0.43265	-0.15819	0.39448	-0.31595
TAPT1	0.21938	1.303	-0.24076	-2.3618	0.16438	1.0727	-0.066976	0.40138	-0.52323	0.031991
ITGA2	1.3078	1.233	0.33071	-1.7663	-0.65699	0.58705	-1.2471	-0.27454	0.32983	0.15655
SLTM	0.60051	1.6641	0.27377	-1.9996	-0.80206	0.42858	-0.80592	-0.089582	0.214	0.51627
CBX4	-0.18594	0.53658	0.61337	-2.2812	0.78901	-0.94465	0.8635	0.78975	-0.40416	0.22369
OGFOD3	-0.70941	0.63341	0.86452	-2.3964	0.27608	-0.27279	1.0973	0.45882	0.16353	-0.11506
EIF2D	0.43398	0.25662	0.14221	-2.729	0.29938	0.26768	0.68127	-0.082117	-0.070787	0.80074
SMARCE1	0.5979	0.68931	-0.024435	-2.6515	0.4856	-0.13788	0.82301	0.21167	0.28548	-0.27917
LPGAT1	0.18089	1.8893	0.083798	-2.0611	0.42002	-0.85929	-0.20941	0.034712	0.10702	0.41399
RHOT1	0.46739	1.5278	0.0025493	-2.182	-0.13625	-1.0208	0.39854	0.3056	0.61039	0.026797
NDUFV3	0.30478	1.467	-0.19627	-2.3427	-0.2125	-0.19349	0.81618	0.54169	-0.38335	0.19865
